Mes,Producao_Prevista_kg,Lower,Upper
2024-01-01,55025.02303851101,34740.84935512961,75309.19672189241
2024-02-01,54493.95933143091,34209.78564804951,74778.13301481231
2024-03-01,53962.89562435081,33678.72194096941,74247.0693077322
2024-04-01,53431.831917270705,33147.658233889306,73716.0056006521
2024-05-01,52900.76821019061,32616.59452680921,73184.94189357202
2024-06-01,52369.70450311051,32085.53081972911,72653.8781864919
2024-07-01,51838.640796030406,31554.467112649007,72122.81447941181
2024-08-01,51307.577088950304,31023.403405568904,71591.7507723317
2024-09-01,50776.5133818702,30492.339698488802,71060.68706525161
2024-10-01,50245.4496747901,29961.2759914087,70529.62335817149
2024-11-01,49714.38596771,29430.212284328598,69998.5596510914
2024-12-01,49183.322260629895,28899.148577248496,69467.49594401129
